dataset,length,metric,n_samples,ndg_median,kde_median,speedup_factor,wilcoxon_statistic,p_value,effect_size,significant,memory_savings
opportunity,100,execution_time,25,0.00012803077697753906,0.0004773139953613281,3.728119180633147,0.0,2.9802322387695312e-08,1.108518811560588,True,
opportunity,100,memory_usage,25,0.0,0.0,,3.0,0.047790352272814696,0.39584558134906456,True,1.0
opportunity,1000,execution_time,25,0.00028395652770996094,0.0031578540802001953,11.120906801007557,0.0,2.9802322387695312e-08,1.108518811560588,True,
opportunity,1000,memory_usage,25,0.0,0.0,,18.0,0.7520659077295745,0.06318329470498589,False,1.0
opportunity,10000,execution_time,25,0.0015506744384765625,0.02975296974182129,19.187115621156213,0.0,2.9802322387695312e-08,1.108518811560588,True,
opportunity,10000,memory_usage,25,0.0,0.0,,114.0,0.9989211186604624,0.00027043552947566494,False,1.0
opportunity,100000,execution_time,25,0.00595402717590332,0.11591672897338867,19.468626116205503,0.0,2.9802322387695312e-08,1.108518811560588,True,
opportunity,100000,memory_usage,25,0.0,-9.125,,309.0,0.9999596044108577,1.0125672595762682e-05,False,1.0
pamap2,100,execution_time,25,0.00012612342834472656,0.0005419254302978516,4.296786389413989,0.0,6.139592680668323e-06,0.9043048485907829,True,
pamap2,100,memory_usage,25,0.0,0.0,,3.0,0.005588370640926919,0.554200839502657,True,1.0
pamap2,1000,execution_time,25,0.000270843505859375,0.0032129287719726562,11.862676056338028,0.0,2.9802322387695312e-08,1.108518811560588,True,
pamap2,1000,memory_usage,25,0.0,0.0,,0.0,0.012673659338734128,0.4985620284054259,True,1.0
pamap2,10000,execution_time,25,0.0015559196472167969,0.030384063720703125,19.5280416794361,0.0,2.9802322387695312e-08,1.108518811560588,True,
pamap2,10000,memory_usage,25,0.0,0.0,,59.0,0.9419491280097256,0.014564057177102694,False,1.0
pamap2,100000,execution_time,25,0.014256000518798828,0.2919948101043701,20.48223902063752,0.0,2.9802322387695312e-08,1.108518811560588,True,
pamap2,100000,memory_usage,25,0.0,-11.3125,,289.0,0.9996678183444906,8.326559540675267e-05,False,1.0
synthetic_bimodal,100,execution_time,25,0.00012731552124023438,0.0004961490631103516,3.897003745318352,0.0,2.9802322387695312e-08,1.108518811560588,True,
synthetic_bimodal,1000,execution_time,25,0.0002949237823486328,0.0026679039001464844,9.04607922392886,47.0,0.0005774199962615967,0.6884009606969583,True,
synthetic_bimodal,1000,memory_usage,25,0.0,0.0,,21.0,0.6637363447829387,0.08695208186685047,False,1.0
synthetic_bimodal,10000,execution_time,25,0.0015401840209960938,0.024322986602783203,15.792260061919505,0.0,2.9802322387695312e-08,1.108518811560588,True,
synthetic_bimodal,10000,memory_usage,25,0.0,0.0,,33.0,0.8942451007224701,0.026586920547986607,False,1.0
synthetic_bimodal,100000,execution_time,25,0.013548135757446289,0.20881199836730957,15.412600087989441,0.0,2.9802322387695312e-08,1.108518811560588,True,
synthetic_bimodal,100000,memory_usage,25,0.0,-1.5625,,230.0,0.997430392556018,0.0006441061808025239,False,1.0
synthetic_normal,100,execution_time,25,0.00013494491577148438,0.0004820823669433594,3.5724381625441697,25.0,0.00010785590928534029,0.774440669190448,True,
synthetic_normal,100,memory_usage,25,0.0,0.0,,6.0,0.165899918248885,0.2770998129745949,False,1.0
synthetic_normal,1000,execution_time,25,0.00028014183044433594,0.0026559829711914062,9.480851063829787,0.0,2.9802322387695312e-08,1.108518811560588,True,
synthetic_normal,1000,memory_usage,25,0.0,0.0,,0.0,0.029390860677679435,0.4356407777929808,True,1.0
synthetic_normal,10000,execution_time,25,0.0015349388122558594,0.02374100685119629,15.467070518794657,0.0,2.9802322387695312e-08,1.108518811560588,True,
synthetic_normal,10000,memory_usage,25,0.0,0.0,,2.0,0.011825808327677994,0.5034600028384892,True,1.0
synthetic_normal,100000,execution_time,25,0.013455867767333984,0.23315811157226562,17.32761614515043,0.0,2.9802322387695312e-08,1.108518811560588,True,
synthetic_normal,100000,memory_usage,25,0.0,-3.546875,,251.0,0.9997057824267058,7.374941048258835e-05,False,1.0
